Feature,Importance
AnnualPremium,0.14675471411352198
AnnualIncome,0.1311277986276166
CustomValueEstimate,0.1268083480832887
Age,0.12512564030042644
RiskScore,0.11081819678794784
Province_encoded,0.051781525291896634
NCD,0.04720217734085511
PastClaims,0.04049809147149789
CoverType_encoded,0.032909064912409566
Deductible,0.03268296959163939
YoungDriver,0.02458250891055915
VehicleType_encoded,0.02450985135818572
Gender_encoded,0.02140643099197157
LowNCD,0.021318849612688234
HighRisk,0.013763094767846373
HighIncome,0.012618124318314397
HighDeductible,0.01235711117952549
MultiplePastClaims,0.009099471739800906
HighValueVehicle,0.009020630142806869
SeniorDriver,0.005615400457201123
